id_comparacao;id_hospital;imag_medica;tempo_espera;cuidados;exp_pacientes;read_nacional;seguranca_nac;mortalidade_nac;data_comparacao
1327;50779;Not Available;Below the national average;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
1328;50350;Same as the national average;Below the national average;Same as the national average;Below the national average;Below the national average;Same as the national average;Above the national average;2017-05-20
1329;101300;Not Available;Above the national average;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1330;110122;Same as the national average;Below the national average;Below the national average;Same as the national average;Same as the national average;Above the national average;Below the national average;2017-05-20
1331;101301;Same as the national average;Same as the national average;Same as the national average;Below the national average;Above the national average;Not Available;Same as the national average;2017-05-20
1332;70038;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1333;10100;Below the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
1334;10001;Same as the national average;Same as the national average;Same as the national average;Below the national average;Same as the national average;Above the national average;Same as the national average;2017-05-20
1335;60011;Above the national average;Same as the national average;Same as the national average;Below the national average;Above the national average;Below the national average;Same as the national average;2017-05-20
1336;70003;Same as the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Below the national average;Same as the national average;2017-05-20
1337;10144;Below the national average;Same as the national average;Same as the national average;Below the national average;Same as the national average;Below the national average;Same as the national average;2017-05-20
1338;40072;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1339;30110;Same as the national average;Same as the national average;Below the national average;Below the national average;Same as the national average;Below the national average;Same as the national average;2017-05-20
1340;50426;Same as the national average;Below the national average;Same as the national average;Below the national average;Same as the national average;Above the national average;Above the national average;2017-05-20
1341;110150;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1342;60008;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1343;50714;Not Available;Not Available;Above the national average;Above the national average;Not Available;Not Available;Not Available;2017-05-20
1344;61321;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
